Atarra,4883,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,25.254170,80.625000,India
Atemajac,4884,Valid,L6,94.2,Fell,01/01/1896 12:00:00 AM,20.066670,-103.666670,Mexico
Athens,4885,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,34.750000,-87.000000,United States
Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.316670,-96.150000,United States
Aubres,4893,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,44.383330,5.166670,France
Aumale,4899,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.166670,3.666670,Algeria
Aumieres,4900,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,44.333330,3.233330,France
Ausson,4903,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.083330,0.583330,France
Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.460280,-49.950830,Brazil
Avce,4906,Valid,Iron, IIAB,1230,Fell,01/01/1908 12:00:00 AM,46.000000,13.500000,Slovenia
Avilez,4907,Valid,H,146,Fell,01/01/1855 12:00:00 AM,25.000000,-103.500000,Mexico
Awere,4910,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,2.716670,32.833330,Uganda
Aztec,4913,Valid,L6,2830,Fell,01/01/1938 12:00:00 AM,36.800000,-108.000000,United States
Bachmut,4917,Valid,L6,18000,Fell,01/01/1814 12:00:00 AM,48.600000,38.000000,Ukraine
Bahjoi,4922,Valid,Iron, IAB-sLL,10322,Fell,01/01/1934 12:00:00 AM,28.483330,78.500000,None
Bald Mountain,4925,Valid,L4,3700,Fell,01/01/1929 12:00:00 AM,35.966670,-82.483330,None
Baldwyn,4926,Valid,L6,345,Fell,01/01/1922 12:00:00 AM,34.500000,-88.666670,United States
Bali,4928,Valid,CV3,1000,Fell,01/01/1907 12:00:00 AM,5.383330,16.383330,Central African Republic
Ban Rong Du,4934,Valid,Iron, ungrouped,16700,Fell,01/01/1993 12:00:00 AM,16.666670,101.183330,Thailand
Bandong,4935,Valid,LL6,11500,Fell,01/01/1871 12:00:00 AM,-6.916670,107.600000,Indonesia
Bansur,4936,Valid,L6,15000,Fell,01/01/1892 12:00:00 AM,27.700000,76.333330,India
Banswal,4937,Valid,L5,14,Fell,01/01/1913 12:00:00 AM,30.400000,78.200000,India
Banten,4938,Valid,CM2,629,Fell,01/01/1933 12:00:00 AM,-6.333330,106.000000,Indonesia
Barbotan,4942,Valid,H5,6400,Fell,01/01/1790 12:00:00 AM,43.950000,-0.050000,France
Barcelona (stone),4944,Valid,OC,,Fell,01/01/1704 12:00:00 AM,41.366670,2.166670,Spain
Barea,4946,Valid,Mesosiderite-A1,3200,Fell,01/01/1842 12:00:00 AM,42.383330,-2.500000,Spain
Barnaul,4947,Valid,H5,23.2,Fell,01/01/1904 12:00:00 AM,52.733330,84.083330,None
Barntrup,4948,Valid,LL4,17,Fell,01/01/1886 12:00:00 AM,52.000000,9.100000,Germany
Baroti,4949,Valid,L6,4500,Fell,01/01/1910 12:00:00 AM,31.616670,76.800000,India
Barwell,4954,Valid,L5,44000,Fell,01/01/1965 12:00:00 AM,52.565280,-1.339720,United Kingdom
Bassikounou,44876,Valid,H5,29560,Fell,01/01/2006 12:00:00 AM,15.783330,-5.900000,Mauritania
Baszkówka,4957,Valid,L5,15500,Fell,01/01/1994 12:00:00 AM,52.033330,20.935830,Poland
Bath,4974,Valid,H4,21000,Fell,01/01/1892 12:00:00 AM,45.416670,-98.316670,United States
Bath Furnace,4975,Valid,L6,86000,Fell,01/01/1902 12:00:00 AM,38.250000,-83.750000,United States
Battle Mountain,56133,Valid,L6,2900,Fell,01/01/2012 12:00:00 AM,40.668130,-117.189130,United States
Bawku,4976,Valid,LL5,1557,Fell,01/01/1989 12:00:00 AM,11.083330,-0.183330,Ghana
Baxter,4977,Valid,L6,611,Fell,01/01/1916 12:00:00 AM,36.750000,-93.500000,United States
Beardsley,4984,Valid,H5,16000,Fell,01/01/1929 12:00:00 AM,39.800000,-101.200000,United States
Beaver Creek,4986,Valid,H5,14000,Fell,01/01/1893 12:00:00 AM,51.166670,-117.333330,Canada
Beddgelert,4993,Valid,H5,794,Fell,01/01/1949 12:00:00 AM,53.016670,-4.100000,United Kingdom
Bells,5005,Valid,C2-ung,375,Fell,01/01/1961 12:00:00 AM,33.600000,-96.466670,United States
Belville,5009,Valid,OC,,Fell,01/01/1937 12:00:00 AM,-32.333330,-64.866670,Argentina
Benares (a),5011,Valid,LL4,3700,Fell,01/01/1798 12:00:00 AM,25.366670,82.916670,India
Benguerir,30443,Valid,LL6,25000,Fell,01/01/2004 12:00:00 AM,32.250000,-8.150000,Morocco
Beni M'hira,5018,Valid,L6,19000,Fell,01/01/2001 12:00:00 AM,32.866670,10.800000,Tunisia
Benld,5021,Valid,H6,1770.5,Fell,01/01/1938 12:00:00 AM,39.083330,-89.150000,United States
Benoni,5023,Valid,H6,3880,Fell,01/01/1943 12:00:00 AM,-26.166670,28.416670,South Africa
Bensour,5024,Valid,LL6,45000,Fell,01/01/2002 12:00:00 AM,30.000000,-7.000000,None
Benton,5026,Valid,LL6,2840,Fell,01/01/1949 12:00:00 AM,45.950000,-67.550000,None
Berduc,48975,Valid,L6,270,Fell,01/01/2008 12:00:00 AM,-31.910000,-58.328330,None
Béréba,5028,Valid,Eucrite-mmict,18000,Fell,01/01/1924 12:00:00 AM,11.650000,-3.650000,None
Berlanguillas,5029,Valid,L6,1440,Fell,01/01/1811 12:00:00 AM,41.683330,-3.800000,None
Berthoud,47355,Valid,Eucrite-mmict,960,Fell,01/01/2004 12:00:00 AM,40.305830,-105.023250,None
Bethlehem,5032,Valid,H,13.9,Fell,01/01/1859 12:00:00 AM,42.533330,-73.833330,None
